"Site No","Site Name","Service","Class","Modulation","Area Served","Commenced Date"
"2025","Radio Hill RT","WIN Digital Television","D","COFDM","Cooma","11/10/2021 07:00"
"2031","Bimmil Hill","WIN Digital Television","D","COFDM","Eden","11/10/2021 07:00"
"2071","Mt Gillamatong","WIN Digital Television","D","COFDM","Braidwood","11/10/2021 07:00"
"2087","Buckeridge Lookout","WIN Digital Television","D","COFDM","Narooma","11/10/2021 07:00"
"2105","Thredbo","WIN Digital Television","D","COFDM","Thredbo","11/10/2021 07:00"
"2118","Young","WIN Digital Television","D","COFDM","Young","11/10/2021 07:00"
"2141","Webbs Hill","WIN Digital Television","D","COFDM","Tumut","11/10/2021 07:00"
"2291","The Gap WIN","WIN Digital Television","D","COFDM","Adelong","11/10/2021 07:00"
"2320","Captains Flat","WIN Digital Television","D","COFDM","Captains Flat","11/10/2021 07:00"
"2321","Talbingo","WIN Digital Television","D","COFDM","Talbingo","11/10/2021 07:00"
"2008","Black Mountain Tower","WIN Digital Television","A","COFDM","Canberra","11/10/2021 07:00"
"2081","Mt Ulandra","WIN Digital Television","B","COFDM","SW Slopes/E Riverina","11/10/2021 07:00"
"2082","Mt Wandera","WIN Digital Television","C","COFDM","Moruya","11/10/2021 07:00"
"2108","Tuggeranong Hill","WIN Digital Television","C","COFDM","Tuggeranong Valley","11/10/2021 07:00"
"2178","Mt Mumbulla WIN","WIN Digital Television","C","COFDM","Bega","11/10/2021 07:00"
"2286","Chaton Ridge WIN","WIN Digital Television","E","COFDM","Bungendore","11/10/2021 07:00"
"2498","Kianga","WIN Digital Television","E","COFDM","Dalmeny","11/10/2021 07:00"
"2614","Mt Gray WIN","WIN Digital Television","C","COFDM","Goulburn","11/10/2021 07:00"
"2688","Bermagui RBAH","WIN Digital Television","E","COFDM","Bermagui","11/10/2021 07:00"
"2690","Eastgrove RBAH","WIN Digital Television","E","COFDM","Eastgrove","11/10/2021 07:00"
"2694","Merimbula RBAH","WIN Digital Television","E","COFDM","Merimbula","11/10/2021 07:00"
"2286","Chaton Ridge WIN","ABC Digital Television","E","COFDM","Bungendore","11/10/2021 07:00"
"2286","Chaton Ridge WIN","Seven Digital Television","E","COFDM","Bungendore","11/10/2021 07:00"
"2286","Chaton Ridge WIN","10 pgm","E","COFDM","Bungendore","11/10/2021 07:00"
"2286","Chaton Ridge WIN","SBS Digital Television","E","COFDM","Bungendore","11/10/2021 07:00"
"2498","Kianga","ABC Digital Television","E","COFDM","Dalmeny","11/10/2021 07:00"
"2498","Kianga","Seven Digital Television","E","COFDM","Dalmeny","11/10/2021 07:00"
"2498","Kianga","10 pgm","E","COFDM","Dalmeny","11/10/2021 07:00"
"2498","Kianga","SBS Digital Television","E","COFDM","Dalmeny","11/10/2021 07:00"
"2688","Bermagui RBAH","ABC Digital Television","E","COFDM","Bermagui","11/10/2021 07:00"
"2688","Bermagui RBAH","Seven Digital Television","E","COFDM","Bermagui","11/10/2021 07:00"
"2688","Bermagui RBAH","10 pgm","E","COFDM","Bermagui","11/10/2021 07:00"
"2688","Bermagui RBAH","SBS Digital Television","E","COFDM","Bermagui","11/10/2021 07:00"
"2690","Eastgrove RBAH","ABC Digital Television","E","COFDM","Eastgrove","11/10/2021 07:00"
"2690","Eastgrove RBAH","Seven Digital Television","E","COFDM","Eastgrove","11/10/2021 07:00"
"2690","Eastgrove RBAH","10 pgm","E","COFDM","Eastgrove","11/10/2021 07:00"
"2690","Eastgrove RBAH","SBS Digital Television","E","COFDM","Eastgrove","11/10/2021 07:00"
"2694","Merimbula RBAH","ABC Digital Television","E","COFDM","Merimbula","11/10/2021 07:00"
"2694","Merimbula RBAH","Seven Digital Television","E","COFDM","Merimbula","11/10/2021 07:00"
"2694","Merimbula RBAH","10 pgm","E","COFDM","Merimbula","11/10/2021 07:00"
"2694","Merimbula RBAH","SBS Digital Television","E","COFDM","Merimbula","11/10/2021 07:00"
"2118","Young","Seven Digital Television","D","COFDM","Young","11/10/2021 07:00"
"2178","Mt Mumbulla WIN","Seven Digital Television","C","COFDM","Bega","11/10/2021 07:00"
"2291","The Gap WIN","Seven Digital Television","D","COFDM","Adelong","11/10/2021 07:00"
"2320","Captains Flat","Seven Digital Television","D","COFDM","Captains Flat","11/10/2021 07:00"
"2321","Talbingo","Seven Digital Television","D","COFDM","Talbingo","11/10/2021 07:00"
"2351","Conder","ABC Digital Television","E","COFDM","Conder","11/10/2021 07:00"
"2351","Conder","Seven Digital Television","E","COFDM","Conder","11/10/2021 07:00"
"2351","Conder","10 pgm","E","COFDM","Conder","11/10/2021 07:00"
"2351","Conder","SBS Digital Television","E","COFDM","Conder","11/10/2021 07:00"
"2351","Conder","WIN Digital Television","E","COFDM","Conder","11/10/2021 07:00"
"2684","Gunning RBAH","ABC Digital Television","E","COFDM","Gunning","11/10/2021 07:00"
"2684","Gunning RBAH","Seven Digital Television","E","COFDM","Gunning","11/10/2021 07:00"
"2684","Gunning RBAH","10 pgm","E","COFDM","Gunning","11/10/2021 07:00"
"2684","Gunning RBAH","SBS Digital Television","E","COFDM","Gunning","11/10/2021 07:00"
"2684","Gunning RBAH","WIN Digital Television","E","COFDM","Gunning","11/10/2021 07:00"
"2319","Batlow","Seven Digital Television","R","COFDM","Batlow","01/03/2025 00:05"
"2319","Batlow","WIN Digital Television","R","COFDM","Batlow","01/03/2025 00:05"
"2599","Cootamundra RBAH","SBS Digital Television","R","COFDM","Cootamundra","01/03/2025 00:05"
"2599","Cootamundra RBAH","WIN Digital Television","R","COFDM","Cootamundra","01/03/2025 00:05"
"2599","Cootamundra RBAH","ABC Digital Television","R","COFDM","Cootamundra","01/03/2025 00:05"
"2599","Cootamundra RBAH","Seven Digital Television","R","COFDM","Cootamundra","01/03/2025 00:05"
"2605","Harden RBAH","ABC Digital Television","R","COFDM","Harden","01/03/2025 00:05"
"2605","Harden RBAH","Seven Digital Television","R","COFDM","Harden","01/03/2025 00:05"
"2605","Harden RBAH","SBS Digital Television","R","COFDM","Harden","01/03/2025 00:05"
"2605","Harden RBAH","WIN Digital Television","R","COFDM","Harden","01/03/2025 00:05"
"2615","Mt Parnassus RBAH","WIN Digital Television","R","COFDM","Gundagai","01/03/2025 00:05"
"2615","Mt Parnassus RBAH","ABC Digital Television","R","COFDM","Gundagai","01/03/2025 00:05"
"2615","Mt Parnassus RBAH","Seven Digital Television","R","COFDM","Gundagai","01/03/2025 00:05"
"2615","Mt Parnassus RBAH","SBS Digital Television","R","COFDM","Gundagai","01/03/2025 00:05"
"2008","Black Mountain Tower","10 pgm","B","COFDM","Canberra","01/03/2025 00:05"
"2081","Mt Ulandra","10 pgm","B","COFDM","Bethungra / Cootamundra","01/03/2025 00:05"
"2319","Batlow","10 pgm","R","COFDM","Batlow","01/03/2025 00:05"
"2599","Cootamundra RBAH","10 pgm","R","COFDM","Cootamundra","01/03/2025 00:05"
"2605","Harden RBAH","10 pgm","R","COFDM","Harden","01/03/2025 00:05"
"2615","Mt Parnassus RBAH","10 pgm","R","COFDM","Gundagai","01/03/2025 00:05"
"2009","Bombala","10 pgm","D","COFDM","Bombala","01/03/2025 00:05"
"2025","Radio Hill RT","10 pgm","D","COFDM","Cooma Town","01/03/2025 00:05"
"2031","Bimmil Hill","10 pgm","D","COFDM","Eden","01/03/2025 00:05"
"2048","Jinderboine Hill","10 pgm","D","COFDM","Jindabyne","01/03/2025 00:05"
"2071","Mt Gillamatong","10 pgm","D","COFDM","Braidwood","01/03/2025 00:05"
"2082","Mt Wandera","10 pgm","D","COFDM","Batemans Bay","01/03/2025 00:05"
"2087","Buckeridge Lookout","10 pgm","D","COFDM","Narooma","01/03/2025 00:05"
"2105","Thredbo","10 pgm","D","COFDM","Thredbo","01/03/2025 00:05"
"2108","Tuggeranong Hill","10 pgm","D","COFDM","Tuggeranong","01/03/2025 00:05"
"2118","Young","10 pgm","D","COFDM","Young","01/03/2025 00:05"
"2141","Webbs Hill","10 pgm","D","COFDM","Tumut","01/03/2025 00:05"
"2178","Mt Mumbulla WIN","10 pgm","D","COFDM","Bega","01/03/2025 00:05"
"2225","Mt Roberts","10 pgm","D","COFDM","Cooma/Monaro","01/03/2025 00:05"
"2291","The Gap WIN","10 pgm","D","COFDM","Adelong","01/03/2025 00:05"
"2320","Captains Flat","10 pgm","D","COFDM","Captains Flat","01/03/2025 00:05"
"2321","Talbingo","10 pgm","D","COFDM","Talbingo","01/03/2025 00:05"
"2614","Mt Gray WIN","10 pgm","D","COFDM","Goulburn","01/03/2025 00:05"
"2141","Webbs Hill","Triple M","D","FM","Tumut","02/09/2019 11:05"
"2141","Webbs Hill","HIT FM","D","FM","Tumut","02/09/2019 11:05"
"2615","Mt Parnassus RBAH","Triple M","D","FM","Gundagai","02/09/2019 11:05"
"2008","Black Mountain Tower","MIX 106.3","A","FM","Canberra","30/04/1988 23:00"
"2008","Black Mountain Tower","HIT 104.7","A","FM","Canberra","27/02/1988 00:00"
"2008","Black Mountain Tower","Canberra Digital Radio","A","COFDM","Canberra","19/07/2019 00:00"
"2108","Tuggeranong Hill","HIT 104.7","C","FM","Tuggeranong Valley","22/11/2006 00:00"
"2108","Tuggeranong Hill","MIX 106.3","C","FM","Tuggeranong Valley","22/11/2006 00:00"
"2108","Tuggeranong Hill","National Digital Radio","C","COFDM","Tuggeranong Valley","19/05/2018 00:00"
"2225","Mt Roberts","SBS Digital Television","C","COFDM","Cooma/Monaro","17/05/2014 03:40"
"2320","Captains Flat","SBS Digital Television","D","COFDM","Captains Flat","01/07/2014 00:00"
